"module","screen_id","screen_name_zh","screen_name_en","current_status","current_file_or_route","purpose","primary_user_action","required_inputs","expected_outputs","data_state","empty_state_needed","warning_or_gate_needed","result_preview_needed","icon_family_used","mockup_priority","implementation_priority","risk_level","notes"
"LabTools","LAB-005","Western Blot loading calculator","Western Blot Loading Calculator","planned/shell category","app/shell/main_window.py","计算 WB loading 方案","输入蛋白浓度/目标量","sample concentration; target loading","loading mix plan","planned","yes","yes","yes","labtools; status","P1","P2","medium","属于蛋白实验模块; 不放入通用计算器"
"LabTools","LAB-006","SDS-PAGE 配胶","SDS-PAGE Gel Preparation","planned/shell category","app/shell/main_window.py","计算 SDS-PAGE 配胶方案","选择胶浓度/体积","gel percentage; volume","gel recipe","planned","yes","yes","yes","labtools; status","P1","P2","medium","属于蛋白实验模块"
"LabTools","LAB-007","BCA / OD 记录","BCA and OD Record","planned/shell category","app/shell/main_window.py","记录 BCA/OD 标准曲线和读数","录入读数; review curve","absorbance values; standards","record table; curve preview future","planned","yes","yes","yes","labtools; status","P1","P2","medium","BCA 不放入通用计算器或 ELISA"
"LabTools","LAB-008","PCR / qPCR 工具","PCR and qPCR Tools","planned/shell category","app/shell/main_window.py","PCR/qPCR 配方和记录模板","输入 primer/reaction settings","primer; reaction volume; cycle info","protocol/record template","planned","yes","yes","yes","labtools; status","P1","P3","medium","属于核酸实验模块"
"LabTools","LAB-009","ELISA / 吸光度工具","ELISA and Absorbance Tools","planned/shell category","app/shell/main_window.py","ELISA/吸光度实验记录与计算边界","录入 plate/readings","plate layout; absorbance values","record and analysis placeholder","planned","yes","yes","yes","labtools; status","P1","P3","medium","MTT/CCK-8/AlamarBlue 不应放错到 ELISA"
"LabTools","LAB-010","细胞实验记录模板","Cell Experiment Record Templates","planned/shell category","app/shell/main_window.py","细胞实验记录入口","选择记录类型","cell line; passage/date","record template","planned","yes","yes","no","labtools; status","P0","P2","medium","后续 UI-C1c 重点"
"LabTools","LAB-011","传代/复苏/冻存/接种/给药/转染记录","Cell Culture Operation Records","planned/shell category","app/shell/main_window.py","记录细胞操作流程","填写操作记录","cell line; operator; reagent; batch","operation log","planned","yes","yes","no","labtools; status","P0","P2","medium","需要多种 record template"
"LabTools","LAB-012","细胞图像分析入口","Cell Image Analysis Entry","settings-linked shell","app/shell/main_window.py","提示图像分析引擎配置位置","进入 Settings external capability","image engine setting status","Settings link/notice","settings-gated","yes","yes","no","settings_resources; labtools; status","P3","P4","high","图像分析不作为 LabTools 一级入口"
"LabTools","LAB-013","ImageJ/Fiji 调用提示页","ImageJ/Fiji Callout","settings-linked shell","app/shell/main_window.py","说明 ImageJ/Fiji 为外部能力配置","跳转 Settings; 查看状态","ImageJ/Fiji resource status","configuration prompt","detect-first/settings","yes","yes","no","settings_resources; status","P3","P4","high","不得暗示已安装或可自动运行"
"Settings","SET-001","外部能力","External Capabilities","runtime shell","app/shell/main_window.py","集中显示外部工具能力和检测入口","点击 detect; 查看状态","local environment; tool paths","capability status cards","detect-first","yes","yes","no","settings_resources; status","P3","P2","high","安装/更新保持禁用或 user-triggered"
"Settings","SET-002","分析资源","Analysis Resources","runtime shell","app/shell/main_window.py","显示 GO/KEGG/R/Python 包等资源状态","查看状态; detect","resource paths; package availability","resource status rows","detect-first","yes","yes","no","settings_resources; status","P3","P2","high","不得自动安装"
"Settings","SET-003","模型与引擎","Models and Engines","runtime shell","app/shell/main_window.py","显示本地模型/Cloud AI/engine 配置边界","查看状态; disabled configure","model config; engine status","model/engine status cards","detect-first/planned","yes","yes","no","settings_resources; status","P3","P3","high","不新增云配置或模型调用"
"Settings","SET-004","本地模型状态","Local Model Status","runtime shell","app/shell/main_window.py","展示本地模型检测和限制","detect local model","model path/status","local model status","detect-first","yes","yes","no","settings_resources; status","P3","P3","high","不得暗示可直接推理"
"Settings","SET-005","ImageJ/Fiji 配置","ImageJ/Fiji Configuration","runtime shell","app/shell/main_window.py","配置/检测图像分析外部引擎","detect ImageJ/Fiji","path or local install state","external capability status","detect-first","yes","yes","no","settings_resources; status","P3","P3","high","仍属于 Settings; 不进入 LabTools 一级入口"
"Settings","SET-006","PDF/OCR 资源","PDF/OCR Resources","runtime shell","app/shell/main_window.py","显示 PDF/OCR 能力边界","detect resource","OCR engine/resource status","resource status","detect-first/planned","yes","yes","no","settings_resources; status","P3","P4","high","不启用中文 PDF 抽取"
"Settings","SET-007","开发者诊断","Developer Diagnostics","runtime shell","app/shell/main_window.py","折叠显示技术状态和资源 inventory","展开诊断","runtime config; resource inventory","diagnostic table/status","developer-only","yes","yes","no","settings_resources; status","P3","P3","medium","普通用户主流程不应强曝光"
"Shared UI","SHR-001","空状态","Empty States","active shared primitive","app/shared/ui_components/primitives.py; assets/images/empty_states/","展示无项目/无结果/缺资源等状态","查看提示; 点击保留 action","empty state semantic key","empty state card","empty/missing/blocked","yes","yes","no","empty_states; status","P2","P2","medium","需要统一尺寸和插图留白"
"Shared UI","SHR-002","结果表壳层","Result Table Shell","shared shell","app/shared/result_report_export_shell.py","展示测试级表格区域 marker","查看 table placeholder","result state","disabled/testing table area","testing/empty","yes","yes","yes","result_report_export; status","P2","P2","high","不得显示假结果表"
"Shared UI","SHR-003","报告壳层","Report Shell","shared shell","app/shared/result_report_export_shell.py","展示报告草稿边界","查看 draft marker","report state","draft report panel","draft/testing","yes","yes","yes","result_report_export; status","P2","P2","high","不声明 report-ready"
"Shared UI","SHR-004","导出 gate 壳层","Export Gate Shell","shared shell","app/shared/result_report_export_shell.py","控制导出按钮 disabled/gated 状态","查看 disabled export options","exportGate; reportStatusKey; resultSemanticKey","disabled buttons","gated","yes","yes","yes","result_report_export; status","P2","P2","high","不能启用导出 action"
"Shared UI","SHR-005","warning/blocker/preflight rows","Warning Blocker Preflight Rows","partially shared pattern","app/shared/ui_components/primitives.py; app/bioinformatics/workspace.py; app/shell/main_window.py","统一展示 blocker/preflight/warning 行","阅读并处理 blocker","status/warning messages","warning row list","preflight/blocked","yes","yes","no","status; empty_states","P0","P1","high","需要跨模块统一样式"
"Shared UI","SHR-006","状态 chip / 状态行","Status Chip and Status Row","active shared primitive","app/shared/ui_components/primitives.py; app/ui_style_tokens.py","展示状态文本和辅助 icon","查看状态说明","status key","status chip/row","all status states","no","yes","no","status","P0","P0","high","文字 label 与 semanticKey 是权威来源"
"Shared UI","SHR-007","确认弹窗","Confirmation Dialog","not standardized","app/shell/main_window.py; module-specific pages","确认危险/不可逆/阶段转换操作","confirm/cancel","action context","confirmed/cancelled state","future/planned","no","yes","no","status","P1","P3","medium","需要统一 dialog pattern"
"Shared UI","SHR-008","参数复核卡","Parameter Review Card","not standardized","app/bioinformatics/pages/*; app/meta_analysis/workspace.py","提交分析前复核参数和 gate","review parameters","analysis params; resource status","parameter summary","preflight/testing","yes","yes","yes","status","P0","P1","high","Bio/Meta/LabTools 都需要"
"Shared UI","SHR-009","本地文件导入卡","Local File Import Card","not standardized","app/bioinformatics/pages/local_expression_import_page.py; app/bioinformatics/project_home.py","选择本地文件并显示校验结果","browse file; validate","file path; expected schema","file validation state","local/import","yes","yes","yes","empty_states; status","P0","P1","high","需要拖放/选择文件/错误摘要设计"
"Shared UI","SHR-010","快速入口卡","Quick Access Card","runtime shell pattern","app/shell/main_window.py; app/shell/module_selection.py","最近使用/指南/FAQ/反馈入口","点击辅助入口","none/project state","navigation or placeholder","shell","yes","yes","no","modules; status","P3","P3","low","统一在 Dashboard/Bio/LabTools 等页面"
