"resource_id","resource_path","resource_type","current_status","active_usage","placeholder_strategy","formal_design_needed","can_replace_now","next_stage","notes"
"bio.workflow.ui06","missing: assets/icons/workflow/ui06_recognition.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Target label may be Data Check & Preparation."
"bio.workflow.ui07","missing: assets/icons/workflow/ui07_readiness.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Target IA may not keep old UI07 label."
"bio.workflow.ui08","missing: assets/icons/workflow/ui08_standardization.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Needs resolver-first page mapping before icon work."
"bio.workflow.ui09","missing: assets/icons/workflow/ui09_workflow.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Do not add old workflow-control art prematurely."
"bio.workflow.ui10","missing: assets/icons/workflow/ui10_tasks.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_if_target_page_icon_map_approved","no","UI-B8-design-followup","Analysis task icon must respect gated/preflight status."
"bio.workflow.ui11","missing: assets/icons/workflow/ui11_results.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_shared_result_icon","no","UI-B8-design-followup","Should align with shared Result shell."
"bio.workflow.ui12","missing: assets/icons/workflow/ui12_report.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_shared_report_icon","no","UI-B8-design-followup","Should align with shared Report shell."
"bio.workflow.ui13","missing: assets/icons/workflow/ui13_settings_ai.png","bio_workflow_icon","missing_registered","not used by current target shell","continue_text_status_placeholder","yes_settings_resource_icon_system","no","UI-B8-design-followup","AI/model resource visuals belong in Settings first."
"settings.external_engines","missing: assets/icons/settings/external_engines/*","settings_resource_icons","missing","Settings cards are text/status-chip only","continue_text_plus_status_chip","yes_external_engine_icon_set","no","UI-B8-design-followup","Python/R/ImageJ/Fiji/external image engine need formal icon mapping."
"settings.analysis_resources","missing: assets/icons/settings/analysis_resources/*","settings_resource_icons","missing","Settings analysis resources cards are text/status-chip only","continue_text_plus_status_chip","yes_analysis_resource_icon_set","no","UI-B8-design-followup","GO/KEGG/MSigDB/resolver/report templates need icons after resource taxonomy freezes."
"settings.models","missing: assets/icons/settings/models/*","settings_resource_icons","missing","Settings model cards are text/status-chip only","continue_text_plus_status_chip","yes_model_engine_icon_set","no","UI-B8-design-followup","Local AI and cloud model icons need security/product decisions."
"settings.developer_diagnostics","missing: assets/icons/settings/developer_diagnostics.png","diagnostic_icon","missing","Developer diagnostics uses text toggle","continue_text_toggle","optional_formal_icon","no","UI-B8-design-followup","Low-fidelity shell can remain text-only."
"status.semantic","missing: assets/icons/status/*","status_icons","missing","Status chips use text/color/iconHint only","continue_text_color_chips","yes_status_icon_system","no","UI-B8-design-followup","Need developer_preview/testing/planned/shell_only/blocked/preflight/available/not_configured/failed/draft icons."
"empty_state.shared","missing: assets/images/empty_states/*","empty_state_illustrations","missing","Empty states are card/text only","continue_text_card_empty_state","yes_empty_state_illustration_system","no","UI-B8-design-followup","Do not use legacy archive illustrations as final."
"result.report.export","missing: assets/icons/result_report_export/*","report_export_icons","missing","Shared shell uses text/status/buttons","continue_text_buttons","yes_report_export_icon_set","no","UI-B8-design-followup","Markdown/HTML/DOCX/CSV/XLSX icons should wait for export policy."
"meta.type_icons","missing: assets/icons/meta_types/*","meta_type_icons","missing","Meta type pages use text/status shell","continue_text_type_cards","yes_meta_type_icon_set","no","UI-B8-design-followup","10 active Meta type groups need final taxonomy first."
"labtools.primary_entries","missing: assets/icons/labtools/primary/*","labtools_entry_icons","missing","LabTools primary cards are text/status only","continue_text_cards","yes_labtools_entry_icon_set","no","UI-B8-design-followup","General calculators/reagent preparation/experiment modules need formal icons."
"labtools.experiment_categories","missing: assets/icons/labtools/experiments/*","labtools_experiment_icons","missing","Experiment module cards are text/status only","continue_text_cards","yes_experiment_category_icon_set","no","UI-B8-design-followup","Cell/protein/nucleic/immuno/IHC categories need stable visual taxonomy."
"desktop.finder_icon","missing: dist plist icon binding; desktop app stale","desktop_icon_packaging","deferred","No current B8 change allowed","continue_existing_desktop_state","yes_app_icon_packaging_plan","no","UI-B10","Desktop icon and Finder/LaunchServices behavior explicitly deferred to UI-B10."
