resource_id,semantic_key,resource_family,target_future_path,placeholder_reference_path,required_final_svg_path,required_png_exports,replacement_priority,semantic_risk,replacement_ready,blocker_reason,semantic_reuse_reason,source_manifest,notes
status_not_configured,resource.status.not_configured,status,assets/icons/status/status_not_configured.svg,docs/ui/icon_extraction/batch_01/status/status_not_configured_64_placeholder.png,assets/icons/status/status_not_configured.svg,assets/icons/status/status_not_configured_24.png;assets/icons/status/status_not_configured_32.png;assets/icons/status/status_not_configured_48.png;assets/icons/status/status_not_configured_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,Shared by not-configured status badge and missing-resource empty-state illustration.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_failed,resource.status.failed,status,assets/icons/status/status_failed.svg,docs/ui/icon_extraction/batch_01/status/status_failed_64_placeholder.png,assets/icons/status/status_failed.svg,assets/icons/status/status_failed_24.png;assets/icons/status/status_failed_32.png;assets/icons/status/status_failed_48.png;assets/icons/status/status_failed_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_preflight_only,analysis.status.preflight_only,status,assets/icons/status/status_preflight_only.svg,docs/ui/icon_extraction/batch_01/status/status_preflight_only_64_placeholder.png,assets/icons/status/status_preflight_only.svg,assets/icons/status/status_preflight_only_24.png;assets/icons/status/status_preflight_only_32.png;assets/icons/status/status_preflight_only_48.png;assets/icons/status/status_preflight_only_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,Shared by status badge icon and empty-state illustration for the same preflight-only semantic state.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
status_draft,report.status.draft,status,assets/icons/status/status_draft.svg,docs/ui/icon_extraction/batch_01/status/status_draft_64_placeholder.png,assets/icons/status/status_draft.svg,assets/icons/status/status_draft_24.png;assets/icons/status/status_draft_32.png;assets/icons/status/status_draft_48.png;assets/icons/status/status_draft_64.png,P4,high: status icon may visually overstate testing/planned/shell-only/developer-preview/blocked/preflight/draft semantics,false,P4 semantic status review required; final icon must not imply completed or production-ready state.,Shared by draft status and report draft/template resources; does not imply report-ready output.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_external_engine,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_external_engine.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_external_engine_64_placeholder.png,assets/icons/settings/resources/resource_external_engine.svg,assets/icons/settings/resources/resource_external_engine_24.png;assets/icons/settings/resources/resource_external_engine_32.png;assets/icons/settings/resources/resource_external_engine_48.png;assets/icons/settings/resources/resource_external_engine_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_image_analysis_engine,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_image_analysis_engine.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_image_analysis_engine_64_placeholder.png,assets/icons/settings/resources/resource_image_analysis_engine.svg,assets/icons/settings/resources/resource_image_analysis_engine_24.png;assets/icons/settings/resources/resource_image_analysis_engine_32.png;assets/icons/settings/resources/resource_image_analysis_engine_48.png;assets/icons/settings/resources/resource_image_analysis_engine_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_imagej_fiji,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_imagej_fiji.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_imagej_fiji_64_placeholder.png,assets/icons/settings/resources/resource_imagej_fiji.svg,assets/icons/settings/resources/resource_imagej_fiji_24.png;assets/icons/settings/resources/resource_imagej_fiji_32.png;assets/icons/settings/resources/resource_imagej_fiji_48.png;assets/icons/settings/resources/resource_imagej_fiji_64.png,P2,high: external capability icon must preserve detect-first and user-triggered configuration semantics,false,Detect-first and user-triggered configuration semantics required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_pdf_ocr,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_pdf_ocr.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_pdf_ocr_64_placeholder.png,assets/icons/settings/resources/resource_pdf_ocr.svg,assets/icons/settings/resources/resource_pdf_ocr_24.png;assets/icons/settings/resources/resource_pdf_ocr_32.png;assets/icons/settings/resources/resource_pdf_ocr_48.png;assets/icons/settings/resources/resource_pdf_ocr_64.png,P2,high: external capability icon must preserve detect-first and user-triggered configuration semantics,false,Detect-first and user-triggered configuration semantics required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_local_model,settings.page.model_engine,settings_resources,assets/icons/settings/resources/resource_local_model.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_local_model_64_placeholder.png,assets/icons/settings/resources/resource_local_model.svg,assets/icons/settings/resources/resource_local_model_24.png;assets/icons/settings/resources/resource_local_model_32.png;assets/icons/settings/resources/resource_local_model_48.png;assets/icons/settings/resources/resource_local_model_64.png,P2,high: external capability icon must preserve detect-first and user-triggered configuration semantics,false,Detect-first and user-triggered configuration semantics required before active replacement.,Shared by local model and cloud AI icons inside the model engine settings group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_cloud_ai,settings.page.model_engine,settings_resources,assets/icons/settings/resources/resource_cloud_ai.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_cloud_ai_64_placeholder.png,assets/icons/settings/resources/resource_cloud_ai.svg,assets/icons/settings/resources/resource_cloud_ai_24.png;assets/icons/settings/resources/resource_cloud_ai_32.png;assets/icons/settings/resources/resource_cloud_ai_48.png;assets/icons/settings/resources/resource_cloud_ai_64.png,P2,high: external capability icon must preserve detect-first and user-triggered configuration semantics,false,Detect-first and user-triggered configuration semantics required before active replacement.,Shared by local model and cloud AI icons inside the model engine settings group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_python,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_python.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_python_64_placeholder.png,assets/icons/settings/resources/resource_python.svg,assets/icons/settings/resources/resource_python_24.png;assets/icons/settings/resources/resource_python_32.png;assets/icons/settings/resources/resource_python_48.png;assets/icons/settings/resources/resource_python_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_r,settings.page.external_capabilities,settings_resources,assets/icons/settings/resources/resource_r.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_r_64_placeholder.png,assets/icons/settings/resources/resource_r.svg,assets/icons/settings/resources/resource_r_24.png;assets/icons/settings/resources/resource_r_32.png;assets/icons/settings/resources/resource_r_48.png;assets/icons/settings/resources/resource_r_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by external engine/resource icons inside the Settings external capabilities page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_go,settings.page.analysis_resources,settings_resources,assets/icons/settings/resources/resource_go.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_go_64_placeholder.png,assets/icons/settings/resources/resource_go.svg,assets/icons/settings/resources/resource_go_24.png;assets/icons/settings/resources/resource_go_32.png;assets/icons/settings/resources/resource_go_48.png;assets/icons/settings/resources/resource_go_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by GO/KEGG/package resource icons inside the Settings analysis resources page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_kegg,settings.page.analysis_resources,settings_resources,assets/icons/settings/resources/resource_kegg.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_kegg_64_placeholder.png,assets/icons/settings/resources/resource_kegg.svg,assets/icons/settings/resources/resource_kegg_24.png;assets/icons/settings/resources/resource_kegg_32.png;assets/icons/settings/resources/resource_kegg_48.png;assets/icons/settings/resources/resource_kegg_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by GO/KEGG/package resource icons inside the Settings analysis resources page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_analysis_package,settings.page.analysis_resources,settings_resources,assets/icons/settings/resources/resource_analysis_package.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_analysis_package_64_placeholder.png,assets/icons/settings/resources/resource_analysis_package.svg,assets/icons/settings/resources/resource_analysis_package_24.png;assets/icons/settings/resources/resource_analysis_package_32.png;assets/icons/settings/resources/resource_analysis_package_48.png;assets/icons/settings/resources/resource_analysis_package_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by GO/KEGG/package resource icons inside the Settings analysis resources page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_plotting_package,settings.page.analysis_resources,settings_resources,assets/icons/settings/resources/resource_plotting_package.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_plotting_package_64_placeholder.png,assets/icons/settings/resources/resource_plotting_package.svg,assets/icons/settings/resources/resource_plotting_package_24.png;assets/icons/settings/resources/resource_plotting_package_32.png;assets/icons/settings/resources/resource_plotting_package_48.png;assets/icons/settings/resources/resource_plotting_package_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,Shared by GO/KEGG/package resource icons inside the Settings analysis resources page group.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
resource_developer_diagnostics,settings.page.developer_diagnostics,settings_resources,assets/icons/settings/resources/resource_developer_diagnostics.svg,docs/ui/icon_extraction/batch_01/settings_resources/resource_developer_diagnostics_64_placeholder.png,assets/icons/settings/resources/resource_developer_diagnostics.svg,assets/icons/settings/resources/resource_developer_diagnostics_24.png;assets/icons/settings/resources/resource_developer_diagnostics_32.png;assets/icons/settings/resources/resource_developer_diagnostics_48.png;assets/icons/settings/resources/resource_developer_diagnostics_64.png,P2,medium: external or analysis resource icon may imply configured capability,false,Settings resource detection semantics and final vector source required before active replacement.,,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_general_calculator,labtools.page.general_calculators,labtools,assets/icons/labtools/labtools_general_calculator.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_general_calculator_64_placeholder.png,assets/icons/labtools/labtools_general_calculator.svg,assets/icons/labtools/labtools_general_calculator_24.png;assets/icons/labtools/labtools_general_calculator_32.png;assets/icons/labtools/labtools_general_calculator_48.png;assets/icons/labtools/labtools_general_calculator_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_reagent_preparation,labtools.page.reagent_preparation,labtools,assets/icons/labtools/labtools_reagent_preparation.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_reagent_preparation_64_placeholder.png,assets/icons/labtools/labtools_reagent_preparation.svg,assets/icons/labtools/labtools_reagent_preparation_24.png;assets/icons/labtools/labtools_reagent_preparation_32.png;assets/icons/labtools/labtools_reagent_preparation_48.png;assets/icons/labtools/labtools_reagent_preparation_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_experiment_modules,labtools.page.experiment_modules,labtools,assets/icons/labtools/labtools_experiment_modules.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_experiment_modules_64_placeholder.png,assets/icons/labtools/labtools_experiment_modules.svg,assets/icons/labtools/labtools_experiment_modules_24.png;assets/icons/labtools/labtools_experiment_modules_32.png;assets/icons/labtools/labtools_experiment_modules_48.png;assets/icons/labtools/labtools_experiment_modules_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_cell_experiments,labtools.page.cell_experiments,labtools,assets/icons/labtools/labtools_cell_experiments.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_cell_experiments_64_placeholder.png,assets/icons/labtools/labtools_cell_experiments.svg,assets/icons/labtools/labtools_cell_experiments_24.png;assets/icons/labtools/labtools_cell_experiments_32.png;assets/icons/labtools/labtools_cell_experiments_48.png;assets/icons/labtools/labtools_cell_experiments_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_protein_experiments,labtools.page.protein_experiments,labtools,assets/icons/labtools/labtools_protein_experiments.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_protein_experiments_64_placeholder.png,assets/icons/labtools/labtools_protein_experiments.svg,assets/icons/labtools/labtools_protein_experiments_24.png;assets/icons/labtools/labtools_protein_experiments_32.png;assets/icons/labtools/labtools_protein_experiments_48.png;assets/icons/labtools/labtools_protein_experiments_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_nucleic_acid_experiments,labtools.page.nucleic_acid_experiments,labtools,assets/icons/labtools/labtools_nucleic_acid_experiments.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_nucleic_acid_experiments_64_placeholder.png,assets/icons/labtools/labtools_nucleic_acid_experiments.svg,assets/icons/labtools/labtools_nucleic_acid_experiments_24.png;assets/icons/labtools/labtools_nucleic_acid_experiments_32.png;assets/icons/labtools/labtools_nucleic_acid_experiments_48.png;assets/icons/labtools/labtools_nucleic_acid_experiments_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_immuno_absorbance,labtools.page.immuno_absorbance,labtools,assets/icons/labtools/labtools_immuno_absorbance.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_immuno_absorbance_64_placeholder.png,assets/icons/labtools/labtools_immuno_absorbance.svg,assets/icons/labtools/labtools_immuno_absorbance_24.png;assets/icons/labtools/labtools_immuno_absorbance_32.png;assets/icons/labtools/labtools_immuno_absorbance_48.png;assets/icons/labtools/labtools_immuno_absorbance_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
labtools_ihc,labtools.page.ihc,labtools,assets/icons/labtools/labtools_ihc.svg,docs/ui/icon_extraction/batch_01/labtools/labtools_ihc_64_placeholder.png,assets/icons/labtools/labtools_ihc.svg,assets/icons/labtools/labtools_ihc_24.png;assets/icons/labtools/labtools_ihc_32.png;assets/icons/labtools/labtools_ihc_48.png;assets/icons/labtools/labtools_ihc_64.png,P1,medium: LabTools icon must not imply inventory/cloud collaboration or rewritten calculation logic,false,"Final SVG/vector redraw, light/dark QA, padding/stroke normalization, and focused loader test required before active replacement.",,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
result_overview,result.semantic.testing_summary_only,result_report_export,assets/icons/result_report_export/result_overview.svg,docs/ui/icon_extraction/batch_01/result_report_export/result_overview_64_placeholder.png,assets/icons/result_report_export/result_overview.svg,assets/icons/result_report_export/result_overview_24.png;assets/icons/result_report_export/result_overview_32.png;assets/icons/result_report_export/result_overview_48.png;assets/icons/result_report_export/result_overview_64.png,P3,high: report/export visual affordance may imply enabled formal result or report-ready package,false,Result/Report/Export gating review required; icon cannot become active affordance before report/export readiness is proven.,Shared by result preview icons and empty-result illustration for testing-summary-only semantics.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
result_chart,result.semantic.testing_summary_only,result_report_export,assets/icons/result_report_export/result_chart.svg,docs/ui/icon_extraction/batch_01/result_report_export/result_chart_64_placeholder.png,assets/icons/result_report_export/result_chart.svg,assets/icons/result_report_export/result_chart_24.png;assets/icons/result_report_export/result_chart_32.png;assets/icons/result_report_export/result_chart_48.png;assets/icons/result_report_export/result_chart_64.png,P3,high: report/export visual affordance may imply enabled formal result or report-ready package,false,Result/Report/Export gating review required; icon cannot become active affordance before report/export readiness is proven.,Shared by result preview icons and empty-result illustration for testing-summary-only semantics.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
result_table,result.semantic.testing_summary_only,result_report_export,assets/icons/result_report_export/result_table.svg,docs/ui/icon_extraction/batch_01/result_report_export/result_table_64_placeholder.png,assets/icons/result_report_export/result_table.svg,assets/icons/result_report_export/result_table_24.png;assets/icons/result_report_export/result_table_32.png;assets/icons/result_report_export/result_table_48.png;assets/icons/result_report_export/result_table_64.png,P3,high: report/export visual affordance may imply enabled formal result or report-ready package,false,Result/Report/Export gating review required; icon cannot become active affordance before report/export readiness is proven.,Shared by result preview icons and empty-result illustration for testing-summary-only semantics.,docs/ui/icon_extraction/UI_B8b2_icon_extraction_manifest_20260521.csv,Placeholder remains under docs/ui/icon_extraction/batch_01; do not move to active assets in UI-B8b3.
