term_id,source,bucket,term_en,term_type,parent_term,field_name,field_value,entity_scope,access_scope,display_label_en,notes,priority,is_active
tcga_gdc.sample_type.primary_blood_derived_cancer_peripheral_blood,tcga_gdc,sample_terms,primary blood derived cancer - peripheral blood,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Primary Blood Derived Cancer - Peripheral Blood,samples,controlled,Primary Blood Derived Cancer - Peripheral Blood,High-value TCGA/GDC sample type value.,370,true
tcga_gdc.sample_type.primary_blood_derived_cancer_bone_marrow,tcga_gdc,sample_terms,primary blood derived cancer - bone marrow,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Primary Blood Derived Cancer - Bone Marrow,samples,controlled,Primary Blood Derived Cancer - Bone Marrow,High-value TCGA/GDC sample type value.,380,true
tcga_gdc.sample_type.recurrent_blood_derived_cancer_bone_marrow,tcga_gdc,sample_terms,recurrent blood derived cancer - bone marrow,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Recurrent Blood Derived Cancer - Bone Marrow,samples,controlled,Recurrent Blood Derived Cancer - Bone Marrow,High-value TCGA/GDC sample type value.,390,true
tcga_gdc.sample_type.blood_derived_normal,tcga_gdc,sample_terms,blood derived normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Blood Derived Normal,samples,open,Blood Derived Normal,High-value TCGA/GDC sample type value.,400,true
tcga_gdc.sample_type.solid_tissue_normal,tcga_gdc,sample_terms,solid tissue normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Solid Tissue Normal,samples,open,Solid Tissue Normal,High-value TCGA/GDC sample type value.,410,true
tcga_gdc.sample_type.buccal_cell_normal,tcga_gdc,sample_terms,buccal cell normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Buccal Cell Normal,samples,open,Buccal Cell Normal,High-value TCGA/GDC sample type value.,420,true
tcga_gdc.sample_type.bone_marrow_normal,tcga_gdc,sample_terms,bone marrow normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Bone Marrow Normal,samples,open,Bone Marrow Normal,High-value TCGA/GDC sample type value.,430,true
tcga_gdc.sample_type.cell_line_derived_tumor,tcga_gdc,sample_terms,cell line derived tumor,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Cell Line Derived Tumor,samples,open,Cell Line Derived Tumor,High-value TCGA/GDC sample type value.,440,true
tcga_gdc.sample_type.cell_line_derived_normal,tcga_gdc,sample_terms,cell line derived normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Cell Line Derived Normal,samples,open,Cell Line Derived Normal,High-value TCGA/GDC sample type value.,450,true
tcga_gdc.sample_type.fibroblast_derived_normal,tcga_gdc,sample_terms,fibroblast derived normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,Fibroblast Derived Normal,samples,open,Fibroblast Derived Normal,High-value TCGA/GDC sample type value.,460,true
tcga_gdc.sample_type.ebv_immortalized_normal,tcga_gdc,sample_terms,ebv immortalized normal,value,tcga_gdc.field.sample_type,cases.samples.sample_type,EBV Immortalized Normal,samples,open,EBV Immortalized Normal,High-value TCGA/GDC sample type value.,470,true
tcga_gdc.tissue_type.tumor,tcga_gdc,sample_terms,tumor,value,tcga_gdc.field.tissue_type,cases.samples.tissue_type,Tumor,samples,open,Tumor,High-value TCGA/GDC tissue type value.,480,true
tcga_gdc.tissue_type.normal,tcga_gdc,sample_terms,normal,value,tcga_gdc.field.tissue_type,cases.samples.tissue_type,Normal,samples,open,Normal,High-value TCGA/GDC tissue type value.,490,true
tcga_gdc.tumor_descriptor.primary,tcga_gdc,sample_terms,primary,value,tcga_gdc.field.tumor_descriptor,cases.samples.tumor_descriptor,Primary,samples,open,Primary,High-value TCGA/GDC tumor descriptor value.,500,true
tcga_gdc.tumor_descriptor.recurrent,tcga_gdc,sample_terms,recurrent,value,tcga_gdc.field.tumor_descriptor,cases.samples.tumor_descriptor,Recurrent,samples,open,Recurrent,High-value TCGA/GDC tumor descriptor value.,510,true
tcga_gdc.tumor_descriptor.metastatic,tcga_gdc,sample_terms,metastatic,value,tcga_gdc.field.tumor_descriptor,cases.samples.tumor_descriptor,Metastatic,samples,open,Metastatic,High-value TCGA/GDC tumor descriptor value.,520,true
tcga_gdc.tumor_descriptor.not_reported,tcga_gdc,sample_terms,not reported,value,tcga_gdc.field.tumor_descriptor,cases.samples.tumor_descriptor,Not Reported,samples,open,Not Reported,High-value TCGA/GDC tumor descriptor value.,530,true
tcga_gdc.data_category.transcriptome_profiling,tcga_gdc,data_terms,transcriptome profiling,value,tcga_gdc.field.data_category,files.data_category,Transcriptome Profiling,files,mixed,Transcriptome Profiling,High-value TCGA/GDC file category.,540,true
tcga_gdc.data_category.clinical,tcga_gdc,data_terms,clinical,value,tcga_gdc.field.data_category,files.data_category,Clinical,files,mixed,Clinical,High-value TCGA/GDC file category.,550,true
tcga_gdc.data_category.biospecimen,tcga_gdc,data_terms,biospecimen,value,tcga_gdc.field.data_category,files.data_category,Biospecimen,files,mixed,Biospecimen,High-value TCGA/GDC file category.,560,true
tcga_gdc.data_category.simple_nucleotide_variation,tcga_gdc,data_terms,simple nucleotide variation,value,tcga_gdc.field.data_category,files.data_category,Simple Nucleotide Variation,files,mixed,Simple Nucleotide Variation,High-value TCGA/GDC file category.,570,true
tcga_gdc.data_category.copy_number_variation,tcga_gdc,data_terms,copy number variation,value,tcga_gdc.field.data_category,files.data_category,Copy Number Variation,files,mixed,Copy Number Variation,High-value TCGA/GDC file category.,580,true
tcga_gdc.data_category.dna_methylation,tcga_gdc,data_terms,dna methylation,value,tcga_gdc.field.data_category,files.data_category,DNA Methylation,files,mixed,DNA Methylation,High-value TCGA/GDC file category.,590,true
tcga_gdc.data_category.sequencing_reads,tcga_gdc,data_terms,sequencing reads,value,tcga_gdc.field.data_category,files.data_category,Sequencing Reads,files,mixed,Sequencing Reads,High-value TCGA/GDC file category.,600,true
tcga_gdc.data_category.structural_variation,tcga_gdc,data_terms,structural variation,value,tcga_gdc.field.data_category,files.data_category,Structural Variation,files,mixed,Structural Variation,High-value TCGA/GDC file category.,610,true
tcga_gdc.data_type.gene_expression_quantification,tcga_gdc,data_terms,Gene Expression Quantification,value,tcga_gdc.field.data_type,files.data_type,Gene Expression Quantification,files,open,Gene Expression Quantification,High-value TCGA/GDC file type.,620,true
tcga_gdc.data_type.clinical_supplement,tcga_gdc,data_terms,Clinical Supplement,value,tcga_gdc.field.data_type,files.data_type,Clinical Supplement,files,open,Clinical Supplement,High-value TCGA/GDC file type.,630,true
tcga_gdc.data_type.biospecimen_supplement,tcga_gdc,data_terms,Biospecimen Supplement,value,tcga_gdc.field.data_type,files.data_type,Biospecimen Supplement,files,open,Biospecimen Supplement,High-value TCGA/GDC file type.,640,true
tcga_gdc.data_type.masked_somatic_mutation,tcga_gdc,data_terms,Masked Somatic Mutation,value,tcga_gdc.field.data_type,files.data_type,Masked Somatic Mutation,files,controlled,Masked Somatic Mutation,High-value TCGA/GDC file type.,650,true
tcga_gdc.data_type.raw_simple_somatic_mutation,tcga_gdc,data_terms,Raw Simple Somatic Mutation,value,tcga_gdc.field.data_type,files.data_type,Raw Simple Somatic Mutation,files,controlled,Raw Simple Somatic Mutation,High-value TCGA/GDC file type.,660,true
tcga_gdc.data_type.aggregated_somatic_mutation,tcga_gdc,data_terms,Aggregated Somatic Mutation,value,tcga_gdc.field.data_type,files.data_type,Aggregated Somatic Mutation,files,controlled,Aggregated Somatic Mutation,High-value TCGA/GDC file type.,670,true
tcga_gdc.data_type.copy_number_segment,tcga_gdc,data_terms,Copy Number Segment,value,tcga_gdc.field.data_type,files.data_type,Copy Number Segment,files,open,Copy Number Segment,High-value TCGA/GDC file type.,680,true
tcga_gdc.data_type.methylation_beta_value,tcga_gdc,data_terms,Methylation Beta Value,value,tcga_gdc.field.data_type,files.data_type,Methylation Beta Value,files,open,Methylation Beta Value,High-value TCGA/GDC file type.,690,true
tcga_gdc.data_type.aligned_reads,tcga_gdc,data_terms,Aligned Reads,value,tcga_gdc.field.data_type,files.data_type,Aligned Reads,files,open,Aligned Reads,High-value TCGA/GDC file type.,700,true
tcga_gdc.experimental_strategy.rna_seq,tcga_gdc,data_terms,RNA-Seq,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,RNA-Seq,files,mixed,RNA-Seq,High-value TCGA/GDC experimental strategy.,710,true
tcga_gdc.experimental_strategy.mirna_seq,tcga_gdc,data_terms,miRNA-Seq,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,miRNA-Seq,files,mixed,miRNA-Seq,High-value TCGA/GDC experimental strategy.,720,true
tcga_gdc.experimental_strategy.wxs,tcga_gdc,data_terms,WXS,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,WXS,files,mixed,WXS,High-value TCGA/GDC experimental strategy.,730,true
tcga_gdc.experimental_strategy.wgs,tcga_gdc,data_terms,WGS,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,WGS,files,mixed,WGS,High-value TCGA/GDC experimental strategy.,740,true
tcga_gdc.experimental_strategy.genotyping_array,tcga_gdc,data_terms,Genotyping Array,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,Genotyping Array,files,mixed,Genotyping Array,High-value TCGA/GDC experimental strategy.,750,true
tcga_gdc.experimental_strategy.methylation_array,tcga_gdc,data_terms,Methylation Array,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,Methylation Array,files,mixed,Methylation Array,High-value TCGA/GDC experimental strategy.,760,true
tcga_gdc.experimental_strategy.diagnostic_slide,tcga_gdc,data_terms,Diagnostic Slide,value,tcga_gdc.field.experimental_strategy,files.experimental_strategy,Diagnostic Slide,files,mixed,Diagnostic Slide,High-value TCGA/GDC experimental strategy.,770,true
tcga_gdc.workflow_type.star_counts,tcga_gdc,data_terms,STAR - Counts,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,STAR - Counts,files,mixed,STAR - Counts,High-value TCGA/GDC workflow type.,780,true
tcga_gdc.workflow_type.star_tpm,tcga_gdc,data_terms,STAR - TPM,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,STAR - TPM,files,mixed,STAR - TPM,High-value TCGA/GDC workflow type.,790,true
tcga_gdc.workflow_type.htseq_counts,tcga_gdc,data_terms,HTSeq - Counts,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,HTSeq - Counts,files,mixed,HTSeq - Counts,High-value TCGA/GDC workflow type.,800,true
tcga_gdc.workflow_type.htseq_fpkm,tcga_gdc,data_terms,HTSeq - FPKM,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,HTSeq - FPKM,files,mixed,HTSeq - FPKM,High-value TCGA/GDC workflow type.,810,true
tcga_gdc.workflow_type.htseq_fpkm_uq,tcga_gdc,data_terms,HTSeq - FPKM-UQ,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,HTSeq - FPKM-UQ,files,mixed,HTSeq - FPKM-UQ,High-value TCGA/GDC workflow type.,820,true
tcga_gdc.workflow_type.mutect2_variant_aggregation_and_masking,tcga_gdc,data_terms,MuTect2 Variant Aggregation and Masking,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,MuTect2 Variant Aggregation and Masking,files,mixed,MuTect2 Variant Aggregation and Masking,High-value TCGA/GDC workflow type.,830,true
tcga_gdc.workflow_type.varscan2_variant_aggregation_and_masking,tcga_gdc,data_terms,VarScan2 Variant Aggregation and Masking,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,VarScan2 Variant Aggregation and Masking,files,mixed,VarScan2 Variant Aggregation and Masking,High-value TCGA/GDC workflow type.,840,true
tcga_gdc.workflow_type.muse_variant_aggregation_and_masking,tcga_gdc,data_terms,MuSE Variant Aggregation and Masking,value,tcga_gdc.field.workflow_type,files.analysis.workflow_type,MuSE Variant Aggregation and Masking,files,mixed,MuSE Variant Aggregation and Masking,High-value TCGA/GDC workflow type.,850,true
tcga_gdc.project.tcga_acc,tcga_gdc,disease_or_project_terms,TCGA-ACC,value,tcga_gdc.field.project_id,project.project_id,TCGA-ACC,projects,open,TCGA-ACC,TCGA project code for Adrenocortical Carcinoma.,860,true
tcga_gdc.project_name.tcga_acc,tcga_gdc,disease_or_project_terms,Adrenocortical Carcinoma,value,tcga_gdc.project.tcga_acc,project.name,Adrenocortical Carcinoma,projects,open,Adrenocortical Carcinoma,Official-style project name for TCGA-ACC.,870,true
tcga_gdc.disease_type.adrenocortical_carcinoma,tcga_gdc,disease_or_project_terms,adrenocortical carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Adrenocortical Carcinoma,projects,open,Adrenocortical Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,880,true
tcga_gdc.primary_site.adrenal_gland,tcga_gdc,disease_or_project_terms,adrenal gland,value,tcga_gdc.field.primary_site,cases.primary_site,Adrenal Gland,cases,open,Adrenal Gland,TCGA/GDC primary site value derived from the TCGA project catalog.,890,true
tcga_gdc.project.tcga_blca,tcga_gdc,disease_or_project_terms,TCGA-BLCA,value,tcga_gdc.field.project_id,project.project_id,TCGA-BLCA,projects,open,TCGA-BLCA,TCGA project code for Bladder Urothelial Carcinoma.,900,true
tcga_gdc.project_name.tcga_blca,tcga_gdc,disease_or_project_terms,Bladder Urothelial Carcinoma,value,tcga_gdc.project.tcga_blca,project.name,Bladder Urothelial Carcinoma,projects,open,Bladder Urothelial Carcinoma,Official-style project name for TCGA-BLCA.,910,true
tcga_gdc.disease_type.bladder_urothelial_carcinoma,tcga_gdc,disease_or_project_terms,bladder urothelial carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Bladder Urothelial Carcinoma,projects,open,Bladder Urothelial Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,920,true
tcga_gdc.primary_site.bladder,tcga_gdc,disease_or_project_terms,bladder,value,tcga_gdc.field.primary_site,cases.primary_site,Bladder,cases,open,Bladder,TCGA/GDC primary site value derived from the TCGA project catalog.,930,true
tcga_gdc.project.tcga_brca,tcga_gdc,disease_or_project_terms,TCGA-BRCA,value,tcga_gdc.field.project_id,project.project_id,TCGA-BRCA,projects,open,TCGA-BRCA,TCGA project code for Breast Invasive Carcinoma.,940,true
tcga_gdc.project_name.tcga_brca,tcga_gdc,disease_or_project_terms,Breast Invasive Carcinoma,value,tcga_gdc.project.tcga_brca,project.name,Breast Invasive Carcinoma,projects,open,Breast Invasive Carcinoma,Official-style project name for TCGA-BRCA.,950,true
tcga_gdc.disease_type.breast_invasive_carcinoma,tcga_gdc,disease_or_project_terms,breast invasive carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Breast Invasive Carcinoma,projects,open,Breast Invasive Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,960,true
tcga_gdc.primary_site.breast,tcga_gdc,disease_or_project_terms,breast,value,tcga_gdc.field.primary_site,cases.primary_site,Breast,cases,open,Breast,TCGA/GDC primary site value derived from the TCGA project catalog.,970,true
tcga_gdc.project.tcga_cesc,tcga_gdc,disease_or_project_terms,TCGA-CESC,value,tcga_gdc.field.project_id,project.project_id,TCGA-CESC,projects,open,TCGA-CESC,TCGA project code for Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma.,980,true
tcga_gdc.project_name.tcga_cesc,tcga_gdc,disease_or_project_terms,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,value,tcga_gdc.project.tcga_cesc,project.name,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,projects,open,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,Official-style project name for TCGA-CESC.,990,true
tcga_gdc.disease_type.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,tcga_gdc,disease_or_project_terms,cervical squamous cell carcinoma and endocervical adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,projects,open,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1000,true
tcga_gdc.primary_site.cervix_uteri,tcga_gdc,disease_or_project_terms,cervix uteri,value,tcga_gdc.field.primary_site,cases.primary_site,Cervix Uteri,cases,open,Cervix Uteri,TCGA/GDC primary site value derived from the TCGA project catalog.,1010,true
tcga_gdc.project.tcga_chol,tcga_gdc,disease_or_project_terms,TCGA-CHOL,value,tcga_gdc.field.project_id,project.project_id,TCGA-CHOL,projects,open,TCGA-CHOL,TCGA project code for Cholangiocarcinoma.,1020,true
tcga_gdc.project_name.tcga_chol,tcga_gdc,disease_or_project_terms,Cholangiocarcinoma,value,tcga_gdc.project.tcga_chol,project.name,Cholangiocarcinoma,projects,open,Cholangiocarcinoma,Official-style project name for TCGA-CHOL.,1030,true
tcga_gdc.disease_type.cholangiocarcinoma,tcga_gdc,disease_or_project_terms,cholangiocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Cholangiocarcinoma,projects,open,Cholangiocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1040,true
tcga_gdc.primary_site.bile_duct,tcga_gdc,disease_or_project_terms,bile duct,value,tcga_gdc.field.primary_site,cases.primary_site,Bile Duct,cases,open,Bile Duct,TCGA/GDC primary site value derived from the TCGA project catalog.,1050,true
tcga_gdc.project.tcga_coad,tcga_gdc,disease_or_project_terms,TCGA-COAD,value,tcga_gdc.field.project_id,project.project_id,TCGA-COAD,projects,open,TCGA-COAD,TCGA project code for Colon Adenocarcinoma.,1060,true
tcga_gdc.project_name.tcga_coad,tcga_gdc,disease_or_project_terms,Colon Adenocarcinoma,value,tcga_gdc.project.tcga_coad,project.name,Colon Adenocarcinoma,projects,open,Colon Adenocarcinoma,Official-style project name for TCGA-COAD.,1070,true
tcga_gdc.disease_type.colon_adenocarcinoma,tcga_gdc,disease_or_project_terms,colon adenocarcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Colon Adenocarcinoma,projects,open,Colon Adenocarcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1080,true
tcga_gdc.primary_site.colon,tcga_gdc,disease_or_project_terms,colon,value,tcga_gdc.field.primary_site,cases.primary_site,Colon,cases,open,Colon,TCGA/GDC primary site value derived from the TCGA project catalog.,1090,true
tcga_gdc.project.tcga_dlbc,tcga_gdc,disease_or_project_terms,TCGA-DLBC,value,tcga_gdc.field.project_id,project.project_id,TCGA-DLBC,projects,open,TCGA-DLBC,TCGA project code for Lymphoid Neoplasm Diffuse Large B-cell Lymphoma.,1100,true
tcga_gdc.project_name.tcga_dlbc,tcga_gdc,disease_or_project_terms,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,value,tcga_gdc.project.tcga_dlbc,project.name,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,projects,open,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,Official-style project name for TCGA-DLBC.,1110,true
tcga_gdc.disease_type.lymphoid_neoplasm_diffuse_large_b_cell_lymphoma,tcga_gdc,disease_or_project_terms,lymphoid neoplasm diffuse large b-cell lymphoma,value,tcga_gdc.field.disease_type,project.disease_type,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,projects,open,Lymphoid Neoplasm Diffuse Large B-cell Lymphoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1120,true
tcga_gdc.primary_site.hematopoietic_and_reticuloendothelial_systems,tcga_gdc,disease_or_project_terms,hematopoietic and reticuloendothelial systems,value,tcga_gdc.field.primary_site,cases.primary_site,Hematopoietic and Reticuloendothelial Systems,cases,open,Hematopoietic and Reticuloendothelial Systems,TCGA/GDC primary site value derived from the TCGA project catalog.,1130,true
tcga_gdc.project.tcga_esca,tcga_gdc,disease_or_project_terms,TCGA-ESCA,value,tcga_gdc.field.project_id,project.project_id,TCGA-ESCA,projects,open,TCGA-ESCA,TCGA project code for Esophageal Carcinoma.,1140,true
tcga_gdc.project_name.tcga_esca,tcga_gdc,disease_or_project_terms,Esophageal Carcinoma,value,tcga_gdc.project.tcga_esca,project.name,Esophageal Carcinoma,projects,open,Esophageal Carcinoma,Official-style project name for TCGA-ESCA.,1150,true
tcga_gdc.disease_type.esophageal_carcinoma,tcga_gdc,disease_or_project_terms,esophageal carcinoma,value,tcga_gdc.field.disease_type,project.disease_type,Esophageal Carcinoma,projects,open,Esophageal Carcinoma,TCGA/GDC disease type value derived from the TCGA project catalog.,1160,true
tcga_gdc.primary_site.esophagus,tcga_gdc,disease_or_project_terms,esophagus,value,tcga_gdc.field.primary_site,cases.primary_site,Esophagus,cases,open,Esophagus,TCGA/GDC primary site value derived from the TCGA project catalog.,1170,true
tcga_gdc.project.tcga_gbm,tcga_gdc,disease_or_project_terms,TCGA-GBM,value,tcga_gdc.field.project_id,project.project_id,TCGA-GBM,projects,open,TCGA-GBM,TCGA project code for Glioblastoma Multiforme.,1180,true
tcga_gdc.project_name.tcga_gbm,tcga_gdc,disease_or_project_terms,Glioblastoma Multiforme,value,tcga_gdc.project.tcga_gbm,project.name,Glioblastoma Multiforme,projects,open,Glioblastoma Multiforme,Official-style project name for TCGA-GBM.,1190,true
tcga_gdc.disease_type.glioblastoma_multiforme,tcga_gdc,disease_or_project_terms,glioblastoma multiforme,value,tcga_gdc.field.disease_type,project.disease_type,Glioblastoma Multiforme,projects,open,Glioblastoma Multiforme,TCGA/GDC disease type value derived from the TCGA project catalog.,1200,true
tcga_gdc.primary_site.brain,tcga_gdc,disease_or_project_terms,brain,value,tcga_gdc.field.primary_site,cases.primary_site,Brain,cases,open,Brain,TCGA/GDC primary site value derived from the TCGA project catalog.,1210,true
