mapping_id,concept_id,source,rule_kind,target_field,target_value,target_term_id,notes,is_active
map.analysis_resource_copy_number.geo.copy_number,analysis_resource.copy_number,geo,query_term,,copy number,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_copy_number.geo.copy_number_variation,analysis_resource.copy_number,geo,query_term,,copy number variation,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_copy_number.tcga_gdc.shared_display_copy_number,analysis_resource.copy_number,tcga_gdc,structured_filter,display_category,copy number,shared.display.copy_number,Copy-number concept is reserved through shared display mapping.,true
map.analysis_resource_eqtl.geo.eqtl,analysis_resource.eqtl,geo,query_term,,eQTL,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_eqtl.gtex.gtex_resource_eqtl,analysis_resource.eqtl,gtex,structured_filter,resource_name,eQTL,gtex.resource.eqtl,GTEx eQTL resource.,true
map.analysis_resource_gene_expression.geo.expression_profiling,analysis_resource.gene_expression,geo,query_term,,expression profiling,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_gene_expression.geo.gene_expression,analysis_resource.gene_expression,geo,query_term,,gene expression,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_gene_expression.gtex.gtex_resource_gene_expression,analysis_resource.gene_expression,gtex,structured_filter,resource_name,gene expression,gtex.resource.gene_expression,Gene-expression concept maps to source-specific expression resources.,true
map.analysis_resource_gene_expression.tcga_gdc.tcga_gdc_data_type_gene_expression_quantification,analysis_resource.gene_expression,tcga_gdc,structured_filter,files.data_type,Gene Expression Quantification,tcga_gdc.data_type.gene_expression_quantification,Gene-expression concept maps to source-specific expression resources.,true
map.analysis_resource_mutation.geo.mutation,analysis_resource.mutation,geo,query_term,,mutation,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_mutation.geo.somatic_mutation,analysis_resource.mutation,geo,query_term,,somatic mutation,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_mutation.tcga_gdc.tcga_gdc_data_type_masked_somatic_mutation,analysis_resource.mutation,tcga_gdc,structured_filter,files.data_type,Masked Somatic Mutation,tcga_gdc.data_type.masked_somatic_mutation,Mutation concept maps to TCGA/GDC mutation files.,true
map.analysis_resource_mutation.tcga_gdc.shared_display_mutation,analysis_resource.mutation,tcga_gdc,structured_filter,display_category,mutation,shared.display.mutation,Mutation display concept supports UI routing.,true
map.analysis_resource_read_count.geo.counts,analysis_resource.read_count,geo,query_term,,counts,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_read_count.geo.read_count,analysis_resource.read_count,geo,query_term,,read count,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_read_count.gtex.gtex_resource_read_count,analysis_resource.read_count,gtex,structured_filter,expression_unit,read count,gtex.resource.read_count,Read-count concept maps to GTEx expression-unit resource.,true
map.analysis_resource_sample_attributes.geo.sample_attributes,analysis_resource.sample_attributes,geo,query_term,,sample attributes,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_sample_attributes.geo.sample_metadata,analysis_resource.sample_attributes,geo,query_term,,sample metadata,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_sample_attributes.gtex.gtex_resource_sample_attributes,analysis_resource.sample_attributes,gtex,structured_filter,resource_name,sample attributes,gtex.resource.sample_attributes,GTEx sample metadata resource.,true
map.analysis_resource_sqtl.geo.sqtl,analysis_resource.sqtl,geo,query_term,,sQTL,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_sqtl.gtex.gtex_resource_sqtl,analysis_resource.sqtl,gtex,structured_filter,resource_name,sQTL,gtex.resource.sqtl,GTEx sQTL resource.,true
map.analysis_resource_subject_phenotypes.geo.subject_metadata,analysis_resource.subject_phenotypes,geo,query_term,,subject metadata,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_subject_phenotypes.geo.subject_phenotypes,analysis_resource.subject_phenotypes,geo,query_term,,subject phenotypes,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_subject_phenotypes.gtex.gtex_resource_subject_phenotypes,analysis_resource.subject_phenotypes,gtex,structured_filter,resource_name,subject phenotypes,gtex.resource.subject_phenotypes,GTEx subject metadata resource.,true
map.analysis_resource_tpm.geo.tpm,analysis_resource.tpm,geo,query_term,,TPM,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_tpm.geo.transcripts_per_million,analysis_resource.tpm,geo,query_term,,transcripts per million,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.analysis_resource_tpm.gtex.gtex_resource_tpm,analysis_resource.tpm,gtex,structured_filter,expression_unit,TPM,gtex.resource.tpm,TPM concept maps to GTEx expression-unit resource.,true
map.database_entity_annotations.tcga_gdc.tcga_gdc_entity_annotations,database_entity.annotations,tcga_gdc,structured_filter,annotation_id,Annotations,tcga_gdc.entity.annotations,Annotations are currently TCGA/GDC-specific.,true
map.database_entity_cases.tcga_gdc.shared_entity_cases,database_entity.cases,tcga_gdc,structured_filter,case_id,Cases,shared.entity.cases,Cases entity shared by structured sources.,true
map.database_entity_dataset.gtex.gtex_entity_dataset,database_entity.dataset,gtex,structured_filter,dataset,Dataset,gtex.entity.dataset,Dataset concept maps to GTEx dataset entity.,true
map.database_entity_files.tcga_gdc.shared_entity_files,database_entity.files,tcga_gdc,structured_filter,file_id,Files,shared.entity.files,Files entity shared by structured sources.,true
map.database_entity_projects.tcga_gdc.shared_entity_projects,database_entity.projects,tcga_gdc,structured_filter,project_id,Projects,shared.entity.projects,Projects entity shared by structured sources.,true
map.disease_acute_myeloid_leukemia.geo.acute_myeloid_leukemia,disease.acute_myeloid_leukemia,geo,query_term,,acute myeloid leukemia,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_acute_myeloid_leukemia.tcga_gdc.tcga_gdc_disease_type_acute_myeloid_leukemia,disease.acute_myeloid_leukemia,tcga_gdc,structured_filter,project.disease_type,Acute Myeloid Leukemia,tcga_gdc.disease_type.acute_myeloid_leukemia,Disease concept maps to a TCGA disease type.,true
map.disease_acute_myeloid_leukemia.tcga_gdc.tcga_gdc_project_tcga_laml,disease.acute_myeloid_leukemia,tcga_gdc,structured_filter,project.project_id,TCGA-LAML,tcga_gdc.project.tcga_laml,Disease concept maps to related TCGA project code.,true
map.disease_adrenocortical_carcinoma.geo.adrenocortical_carcinoma,disease.adrenocortical_carcinoma,geo,query_term,,adrenocortical carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_adrenocortical_carcinoma.gtex.gtex_tissue_adrenal_gland,disease.adrenocortical_carcinoma,gtex,structured_filter,tissue,Adrenal Gland,gtex.tissue.adrenal_gland,ACC-specific concept maps to GTEx adrenal gland tissue reference.,true
map.disease_adrenocortical_carcinoma.tcga_gdc.tcga_gdc_primary_site_adrenal_gland,disease.adrenocortical_carcinoma,tcga_gdc,structured_filter,cases.primary_site,Adrenal Gland,tcga_gdc.primary_site.adrenal_gland,"ACC-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_adrenocortical_carcinoma.tcga_gdc.tcga_gdc_disease_type_adrenocortical_carcinoma,disease.adrenocortical_carcinoma,tcga_gdc,structured_filter,project.disease_type,Adrenocortical Carcinoma,tcga_gdc.disease_type.adrenocortical_carcinoma,"ACC-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_adrenocortical_carcinoma.tcga_gdc.tcga_gdc_project_tcga_acc,disease.adrenocortical_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-ACC,tcga_gdc.project.tcga_acc,"ACC-specific concept maps to TCGA disease, project, and adrenal site.",true
map.disease_bladder_cancer.geo.bladder_cancer,disease.bladder_cancer,geo,query_term,,bladder cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_bladder_cancer.geo.bladder_urothelial_carcinoma,disease.bladder_cancer,geo,query_term,,bladder urothelial carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_bladder_cancer.gtex.gtex_tissue_bladder,disease.bladder_cancer,gtex,structured_filter,tissue,Bladder,gtex.tissue.bladder,Bladder cancer concept maps to GTEx bladder tissue reference.,true
map.disease_bladder_cancer.tcga_gdc.tcga_gdc_primary_site_bladder,disease.bladder_cancer,tcga_gdc,structured_filter,cases.primary_site,Bladder,tcga_gdc.primary_site.bladder,"Bladder cancer concept maps to BLCA disease, project, and bladder site.",true
map.disease_bladder_cancer.tcga_gdc.tcga_gdc_disease_type_bladder_urothelial_carcinoma,disease.bladder_cancer,tcga_gdc,structured_filter,project.disease_type,Bladder Urothelial Carcinoma,tcga_gdc.disease_type.bladder_urothelial_carcinoma,"Bladder cancer concept maps to BLCA disease, project, and bladder site.",true
map.disease_bladder_cancer.tcga_gdc.tcga_gdc_project_tcga_blca,disease.bladder_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-BLCA,tcga_gdc.project.tcga_blca,"Bladder cancer concept maps to BLCA disease, project, and bladder site.",true
map.disease_bladder_urothelial_carcinoma.geo.bladder_urothelial_carcinoma,disease.bladder_urothelial_carcinoma,geo,query_term,,bladder urothelial carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_bladder_urothelial_carcinoma.tcga_gdc.tcga_gdc_disease_type_bladder_urothelial_carcinoma,disease.bladder_urothelial_carcinoma,tcga_gdc,structured_filter,project.disease_type,Bladder Urothelial Carcinoma,tcga_gdc.disease_type.bladder_urothelial_carcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_bladder_urothelial_carcinoma.tcga_gdc.tcga_gdc_project_tcga_blca,disease.bladder_urothelial_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-BLCA,tcga_gdc.project.tcga_blca,Disease concept maps to related TCGA project code.,true
map.disease_brain_lower_grade_glioma.geo.brain_lower_grade_glioma,disease.brain_lower_grade_glioma,geo,query_term,,brain lower grade glioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_brain_lower_grade_glioma.gtex.gtex_tissue_brain,disease.brain_lower_grade_glioma,gtex,structured_filter,tissue,Brain,gtex.tissue.brain,LGG-specific concept maps to GTEx brain tissue reference.,true
map.disease_brain_lower_grade_glioma.tcga_gdc.tcga_gdc_primary_site_brain,disease.brain_lower_grade_glioma,tcga_gdc,structured_filter,cases.primary_site,Brain,tcga_gdc.primary_site.brain,"LGG-specific concept maps to TCGA disease, project, and brain site.",true
map.disease_brain_lower_grade_glioma.tcga_gdc.tcga_gdc_disease_type_brain_lower_grade_glioma,disease.brain_lower_grade_glioma,tcga_gdc,structured_filter,project.disease_type,Brain Lower Grade Glioma,tcga_gdc.disease_type.brain_lower_grade_glioma,"LGG-specific concept maps to TCGA disease, project, and brain site.",true
map.disease_brain_lower_grade_glioma.tcga_gdc.tcga_gdc_project_tcga_lgg,disease.brain_lower_grade_glioma,tcga_gdc,structured_filter,project.project_id,TCGA-LGG,tcga_gdc.project.tcga_lgg,"LGG-specific concept maps to TCGA disease, project, and brain site.",true
map.disease_brain_tumor.geo.brain_tumor,disease.brain_tumor,geo,query_term,,brain tumor,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_brain_tumor.geo.glioblastoma,disease.brain_tumor,geo,query_term,,glioblastoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_brain_tumor.geo.lower_grade_glioma,disease.brain_tumor,geo,query_term,,lower grade glioma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_brain_tumor.gtex.gtex_tissue_brain,disease.brain_tumor,gtex,structured_filter,tissue,Brain,gtex.tissue.brain,Brain tumor concept maps to GTEx brain tissue reference.,true
map.disease_brain_tumor.tcga_gdc.tcga_gdc_primary_site_brain,disease.brain_tumor,tcga_gdc,structured_filter,cases.primary_site,Brain,tcga_gdc.primary_site.brain,Brain tumor concept maps to GBM/LGG and brain primary site.,true
map.disease_brain_tumor.tcga_gdc.tcga_gdc_project_tcga_gbm,disease.brain_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-GBM,tcga_gdc.project.tcga_gbm,Brain tumor concept maps to GBM/LGG and brain primary site.,true
map.disease_brain_tumor.tcga_gdc.tcga_gdc_project_tcga_lgg,disease.brain_tumor,tcga_gdc,structured_filter,project.project_id,TCGA-LGG,tcga_gdc.project.tcga_lgg,Brain tumor concept maps to GBM/LGG and brain primary site.,true
map.disease_breast_cancer.geo.breast_cancer,disease.breast_cancer,geo,query_term,,breast cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_breast_cancer.geo.breast_invasive_carcinoma,disease.breast_cancer,geo,query_term,,breast invasive carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_breast_cancer.gtex.gtex_tissue_breast,disease.breast_cancer,gtex,structured_filter,tissue,Breast,gtex.tissue.breast,Breast cancer concept maps to GTEx breast tissue reference.,true
map.disease_breast_cancer.tcga_gdc.tcga_gdc_primary_site_breast,disease.breast_cancer,tcga_gdc,structured_filter,cases.primary_site,Breast,tcga_gdc.primary_site.breast,"Breast cancer concept maps to BRCA disease, project, and primary site.",true
map.disease_breast_cancer.tcga_gdc.tcga_gdc_disease_type_breast_invasive_carcinoma,disease.breast_cancer,tcga_gdc,structured_filter,project.disease_type,Breast Invasive Carcinoma,tcga_gdc.disease_type.breast_invasive_carcinoma,"Breast cancer concept maps to BRCA disease, project, and primary site.",true
map.disease_breast_cancer.tcga_gdc.tcga_gdc_project_tcga_brca,disease.breast_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-BRCA,tcga_gdc.project.tcga_brca,"Breast cancer concept maps to BRCA disease, project, and primary site.",true
map.disease_breast_invasive_carcinoma.geo.breast_invasive_carcinoma,disease.breast_invasive_carcinoma,geo,query_term,,breast invasive carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_breast_invasive_carcinoma.tcga_gdc.tcga_gdc_disease_type_breast_invasive_carcinoma,disease.breast_invasive_carcinoma,tcga_gdc,structured_filter,project.disease_type,Breast Invasive Carcinoma,tcga_gdc.disease_type.breast_invasive_carcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_breast_invasive_carcinoma.tcga_gdc.tcga_gdc_project_tcga_brca,disease.breast_invasive_carcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-BRCA,tcga_gdc.project.tcga_brca,Disease concept maps to related TCGA project code.,true
map.disease_cervical_cancer.geo.cervical_cancer,disease.cervical_cancer,geo,query_term,,cervical cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_cervical_cancer.geo.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,disease.cervical_cancer,geo,query_term,,cervical squamous cell carcinoma and endocervical adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_cervical_cancer.gtex.gtex_tissue_cervix_uteri,disease.cervical_cancer,gtex,structured_filter,tissue,Cervix Uteri,gtex.tissue.cervix_uteri,Cervical cancer concept maps to GTEx cervix tissue reference.,true
map.disease_cervical_cancer.tcga_gdc.tcga_gdc_disease_type_cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,disease.cervical_cancer,tcga_gdc,structured_filter,project.disease_type,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,tcga_gdc.disease_type.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,"Cervical cancer concept maps to CESC disease, project, and cervix site.",true
map.disease_cervical_cancer.tcga_gdc.tcga_gdc_primary_site_cervix_uteri,disease.cervical_cancer,tcga_gdc,structured_filter,cases.primary_site,Cervix Uteri,tcga_gdc.primary_site.cervix_uteri,"Cervical cancer concept maps to CESC disease, project, and cervix site.",true
map.disease_cervical_cancer.tcga_gdc.tcga_gdc_project_tcga_cesc,disease.cervical_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-CESC,tcga_gdc.project.tcga_cesc,"Cervical cancer concept maps to CESC disease, project, and cervix site.",true
map.disease_cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma.geo.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,disease.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,geo,query_term,,cervical squamous cell carcinoma and endocervical adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,disease.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma,tcga_gdc.disease_type.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_cesc,disease.cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-CESC,tcga_gdc.project.tcga_cesc,Disease concept maps to related TCGA project code.,true
map.disease_cholangiocarcinoma.geo.cholangiocarcinoma,disease.cholangiocarcinoma,geo,query_term,,cholangiocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_cholangiocarcinoma.tcga_gdc.tcga_gdc_disease_type_cholangiocarcinoma,disease.cholangiocarcinoma,tcga_gdc,structured_filter,project.disease_type,Cholangiocarcinoma,tcga_gdc.disease_type.cholangiocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_cholangiocarcinoma.tcga_gdc.tcga_gdc_project_tcga_chol,disease.cholangiocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-CHOL,tcga_gdc.project.tcga_chol,Disease concept maps to related TCGA project code.,true
map.disease_colon_adenocarcinoma.geo.colon_adenocarcinoma,disease.colon_adenocarcinoma,geo,query_term,,colon adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_colon_adenocarcinoma.tcga_gdc.tcga_gdc_disease_type_colon_adenocarcinoma,disease.colon_adenocarcinoma,tcga_gdc,structured_filter,project.disease_type,Colon Adenocarcinoma,tcga_gdc.disease_type.colon_adenocarcinoma,Disease concept maps to a TCGA disease type.,true
map.disease_colon_adenocarcinoma.tcga_gdc.tcga_gdc_project_tcga_coad,disease.colon_adenocarcinoma,tcga_gdc,structured_filter,project.project_id,TCGA-COAD,tcga_gdc.project.tcga_coad,Disease concept maps to related TCGA project code.,true
map.disease_colorectal_cancer.geo.colon_adenocarcinoma,disease.colorectal_cancer,geo,query_term,,colon adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_colorectal_cancer.geo.colorectal_cancer,disease.colorectal_cancer,geo,query_term,,colorectal cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_colorectal_cancer.geo.rectum_adenocarcinoma,disease.colorectal_cancer,geo,query_term,,rectum adenocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_colorectal_cancer.gtex.gtex_tissue_colon,disease.colorectal_cancer,gtex,structured_filter,tissue,Colon,gtex.tissue.colon,Colorectal cancer concept maps to GTEx colon tissue reference.,true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_primary_site_colon,disease.colorectal_cancer,tcga_gdc,structured_filter,cases.primary_site,Colon,tcga_gdc.primary_site.colon,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_disease_type_colon_adenocarcinoma,disease.colorectal_cancer,tcga_gdc,structured_filter,project.disease_type,Colon Adenocarcinoma,tcga_gdc.disease_type.colon_adenocarcinoma,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_primary_site_rectum,disease.colorectal_cancer,tcga_gdc,structured_filter,cases.primary_site,Rectum,tcga_gdc.primary_site.rectum,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_disease_type_rectum_adenocarcinoma,disease.colorectal_cancer,tcga_gdc,structured_filter,project.disease_type,Rectum Adenocarcinoma,tcga_gdc.disease_type.rectum_adenocarcinoma,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_project_tcga_coad,disease.colorectal_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-COAD,tcga_gdc.project.tcga_coad,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_colorectal_cancer.tcga_gdc.tcga_gdc_project_tcga_read,disease.colorectal_cancer,tcga_gdc,structured_filter,project.project_id,TCGA-READ,tcga_gdc.project.tcga_read,"Colorectal cancer concept maps to COAD/READ disease, project, and site terms.",true
map.disease_digestive_system_tumor.geo.cholangiocarcinoma,disease.digestive_system_tumor,geo,query_term,,cholangiocarcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.colorectal_cancer,disease.digestive_system_tumor,geo,query_term,,colorectal cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.digestive_system_tumor,disease.digestive_system_tumor,geo,query_term,,digestive system tumor,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.esophageal_carcinoma,disease.digestive_system_tumor,geo,query_term,,esophageal carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.gastric_cancer,disease.digestive_system_tumor,geo,query_term,,gastric cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.hepatocellular_carcinoma,disease.digestive_system_tumor,geo,query_term,,hepatocellular carcinoma,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.geo.pancreatic_cancer,disease.digestive_system_tumor,geo,query_term,,pancreatic cancer,,Reserved GEO query-expansion term derived from the shared concept layer.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_colon,disease.digestive_system_tumor,gtex,structured_filter,tissue,Colon,gtex.tissue.colon,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_esophagus,disease.digestive_system_tumor,gtex,structured_filter,tissue,Esophagus,gtex.tissue.esophagus,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_liver,disease.digestive_system_tumor,gtex,structured_filter,tissue,Liver,gtex.tissue.liver,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_pancreas,disease.digestive_system_tumor,gtex,structured_filter,tissue,Pancreas,gtex.tissue.pancreas,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_small_intestine,disease.digestive_system_tumor,gtex,structured_filter,tissue,Small Intestine,gtex.tissue.small_intestine,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.gtex.gtex_tissue_stomach,disease.digestive_system_tumor,gtex,structured_filter,tissue,Stomach,gtex.tissue.stomach,Digestive system tumor concept maps to digestive GTEx tissues.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_bile_duct,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Bile Duct,tcga_gdc.primary_site.bile_duct,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_colon,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Colon,tcga_gdc.primary_site.colon,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_esophagus,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Esophagus,tcga_gdc.primary_site.esophagus,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
map.disease_digestive_system_tumor.tcga_gdc.tcga_gdc_primary_site_liver,disease.digestive_system_tumor,tcga_gdc,structured_filter,cases.primary_site,Liver,tcga_gdc.primary_site.liver,Digestive system tumor concept maps to major digestive TCGA projects and sites.,true
